number,id,state,assignee,user,tags,time,activity
111,48,closed,6236151,6236151,enhancement,2019-02-01 14:31:51,open_issue
111,48,closed,6236151,6236151,enhancement,2019-02-08 12:53:41,change_issue
111,48,closed,6236151,6236151,enhancement,2019-02-08 12:53:41,close_issue
111,48,closed,41383598,6236151,enhancement,2019-02-01 14:31:51,open_issue
111,48,closed,41383598,6236151,enhancement,2019-02-08 12:53:41,change_issue
111,48,closed,41383598,6236151,enhancement,2019-02-08 12:53:41,close_issue
112,47,closed,,3202998,,2019-02-01 12:18:13,open_issue
112,47,closed,,3202998,,2019-02-02 21:16:35,change_issue
112,47,closed,,3202998,,2019-02-02 21:16:35,close_issue
113,46,closed,41383598,41383598,enhancement,2019-01-26 09:13:37,open_issue
113,46,closed,41383598,41383598,enhancement,2019-02-08 12:53:30,change_issue
113,46,closed,41383598,41383598,enhancement,2019-02-08 12:53:30,close_issue
114,45,closed,,6236151,,2019-01-25 14:44:27,open_issue
114,45,closed,,6236151,,2019-02-01 14:02:26,change_issue
114,45,closed,,6236151,,2019-02-01 14:02:26,close_issue
115,44,closed,,6236151,,2019-01-25 14:34:36,open_issue
115,44,closed,,6236151,,2019-02-01 14:01:33,change_issue
115,44,closed,,6236151,,2019-02-01 14:01:33,close_issue
116,43,closed,41383598,6236151,bug,2019-01-25 13:36:15,open_issue
116,43,closed,41383598,6236151,bug,2019-02-08 12:53:10,change_issue
116,43,closed,41383598,6236151,bug,2019-02-08 12:53:10,close_issue
117,42,closed,,3202998,,2019-01-25 11:54:13,open_issue
117,42,closed,,3202998,,2019-02-02 23:39:07,change_issue
117,42,closed,,3202998,,2019-02-01 12:52:28,close_issue
118,41,closed,,6236151,enhancement,2019-01-25 10:06:24,open_issue
118,41,closed,,6236151,enhancement,2019-02-01 12:52:16,change_issue
118,41,closed,,6236151,enhancement,2019-02-01 12:52:16,close_issue
119,40,closed,,3202998,,2019-01-24 19:32:13,open_issue
119,40,closed,,3202998,,2019-02-01 12:50:48,change_issue
119,40,closed,,3202998,,2019-02-01 12:50:48,close_issue
120,39,closed,,3202998,,2019-01-23 20:15:11,open_issue
120,39,closed,,3202998,,2019-01-25 14:57:06,change_issue
120,39,closed,,3202998,,2019-01-25 14:57:06,close_issue
121,38,closed,,3202998,,2019-01-23 14:58:05,open_issue
121,38,closed,,3202998,,2019-01-24 09:13:18,change_issue
121,38,closed,,3202998,,2019-01-24 09:13:18,close_issue
122,37,closed,13441534,41383598,enhancement,2019-01-23 09:23:41,open_issue
122,37,closed,13441534,41383598,enhancement,2019-02-08 12:47:18,change_issue
122,37,closed,13441534,41383598,enhancement,2019-02-08 12:47:18,close_issue
122,37,closed,41383598,41383598,enhancement,2019-01-23 09:23:41,open_issue
122,37,closed,41383598,41383598,enhancement,2019-02-08 12:47:18,change_issue
122,37,closed,41383598,41383598,enhancement,2019-02-08 12:47:18,close_issue
123,36,closed,,3202998,,2019-01-22 19:01:39,open_issue
123,36,closed,,3202998,,2019-01-24 09:20:58,change_issue
123,36,closed,,3202998,,2019-01-24 09:20:58,close_issue
124,35,closed,,3202998,,2019-01-22 18:56:50,open_issue
124,35,closed,,3202998,,2019-01-27 07:09:35,change_issue
124,35,closed,,3202998,,2019-01-25 14:57:28,close_issue
125,34,closed,,3202998,,2019-01-22 18:48:54,open_issue
125,34,closed,,3202998,,2019-01-31 07:40:07,change_issue
125,34,closed,,3202998,,2019-01-31 07:40:07,close_issue
126,33,closed,41383598,41383598,,2019-01-20 10:53:06,open_issue
126,33,closed,41383598,41383598,,2019-01-31 07:39:45,change_issue
126,33,closed,41383598,41383598,,2019-01-31 07:39:45,close_issue
127,32,closed,41383598,6236151,question,2019-01-20 09:02:54,open_issue
127,32,closed,41383598,6236151,question,2019-01-25 14:38:23,change_issue
127,32,closed,41383598,6236151,question,2019-01-25 14:38:23,close_issue
128,31,closed,41383598,6239837,bug,2019-01-19 10:58:31,open_issue
128,31,closed,41383598,6239837,bug,2019-01-24 14:53:19,change_issue
128,31,closed,41383598,6239837,bug,2019-01-24 14:53:19,close_issue
129,30,closed,6236151,6236151,enhancement,2019-01-18 13:59:43,open_issue
129,30,closed,6236151,6236151,enhancement,2019-02-08 12:52:58,change_issue
129,30,closed,6236151,6236151,enhancement,2019-02-08 12:52:58,close_issue
129,30,closed,41383598,6236151,enhancement,2019-01-18 13:59:43,open_issue
129,30,closed,41383598,6236151,enhancement,2019-02-08 12:52:58,change_issue
129,30,closed,41383598,6236151,enhancement,2019-02-08 12:52:58,close_issue
130,29,closed,,6236151,,2019-01-18 13:42:02,open_issue
130,29,closed,,6236151,,2019-02-01 12:44:52,change_issue
130,29,closed,,6236151,,2019-02-01 12:44:52,close_issue
131,28,closed,6236151,6236151,enhancement,2019-01-18 13:32:07,open_issue
131,28,closed,6236151,6236151,enhancement,2019-01-25 14:38:37,change_issue
131,28,closed,6236151,6236151,enhancement,2019-01-25 14:38:37,close_issue
131,28,closed,41383598,6236151,enhancement,2019-01-18 13:32:07,open_issue
131,28,closed,41383598,6236151,enhancement,2019-01-25 14:38:37,change_issue
131,28,closed,41383598,6236151,enhancement,2019-01-25 14:38:37,close_issue
132,27,closed,6236151,6236151,enhancement,2019-01-10 16:42:22,open_issue
132,27,closed,6236151,6236151,enhancement,2019-01-13 16:10:13,change_issue
132,27,closed,6236151,6236151,enhancement,2019-01-13 16:10:13,close_issue
133,26,closed,,46524131,,2019-01-09 11:11:10,open_issue
133,26,closed,,46524131,,2019-01-10 15:03:01,change_issue
133,26,closed,,46524131,,2019-01-10 15:03:01,close_issue
134,25,closed,,6236151,,2019-01-09 10:26:56,open_issue
134,25,closed,,6236151,,2019-01-09 10:27:18,change_issue
134,25,closed,,6236151,,2019-01-09 10:27:08,close_issue
135,24,closed,,2101643,,2019-01-03 14:03:29,open_issue
135,24,closed,,2101643,,2019-01-05 12:02:49,change_issue
135,24,closed,,2101643,,2019-01-05 12:02:49,close_issue
136,23,closed,,6634187,,2018-12-31 15:13:49,open_issue
136,23,closed,,6634187,,2019-01-18 13:30:01,change_issue
